chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getText,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setText_String,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getFont,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setFont_Font,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getPaint,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setPaint_Paint,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getTextAnchor,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setTextAnchor_TextAnchor,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getRotationAnchor,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setRotationAnchor_TextAnchor,5,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getRotationAngle,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setRotationAngle_double,4,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getX,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setX_double,4,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getY,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setY_double,4,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,getBackgroundPaint,3,,,1,,,
javaProjects\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,setBackgroundPaint_Paint,4,,,1,,,
